ANYO,MES,SAC,PAIS,ADUANA,VIA,VALOR,PESO
2024,1,304390000,1005,11,3,"286,514",36672
2024,2,304620000,2102,34,1,"2,422",298
2024,3,304620000,2102,34,1,2439,307
2024,4,304620000,2102,34,1,5923,762
2024,5,304620000,2102,34,1,11419,1452
2024,6,304870000,1007,2,2,10,83
2024,2,304892000,1005,11,3,"106,476",14124
2024,3,304892000,1005,11,3,"197,162",20847
2024,4,304892000,2102,34,1,5534,790
2024,5,304892000,1005,15,3,153145,19568
2024,2,304930000,2102,34,1,641,86
2024,3,304930000,2102,34,1,853,107
2024,4,304930000,2102,34,1,979,126
2024,5,304930000,2102,34,1,1344,166
2024,1,305390000,1005,2,2,"1,626",2633
2024,2,305390000,1005,2,2,"1,976",2626
2024,3,305390000,1005,2,2,1483,1630
2024,4,305390000,1005,2,2,361,267
2024,1,305530000,1005,2,2,"2,365",1783
2024,2,305530000,1005,2,2,"1,725",1495
2024,3,305530000,1005,2,2,900,960
2024,1,305540000,1005,2,2,"11,171",2539
2024,2,305540000,1005,2,2,"34,125",6406
2024,3,305690000,1005,2,2,"24,075",2154
2024,4,306169000,1003,10,3,38344,17200
2024,6,306169000,4113,10,3,36813,15196
2024,1,306171100,2102,34,1,7611,788
2024,1,306171100,4113,10,3,"937,095",99882
2024,1,306171100,1005,11,3,"657,385",78425
2024,1,306171100,5406,15,3,"321,923",72976
2024,2,306171100,2102,33,1,28350,11000
2024,2,306171100,2102,34,1,37518,4654
2024,2,306171100,4113,10,3,"465,548",49803
2024,2,306171100,4132,10,3,"174,680",24040
2024,2,306171100,1005,11,3,883542,112888
2024,2,306171100,1005,15,3,"89,100",17214
2024,3,306171100,2102,33,1,"16,900",7000
2024,3,306171100,2102,34,1,"31,951",3950
2024,3,306171100,4113,10,3,"443,742",49738
2024,3,306171100,4116,10,3,"177,914",15696
2024,3,306171100,4128,10,3,"325,440",50620
2024,3,306171100,1005,11,3,"536,631",66835
2024,3,306171100,4113,11,3,"226,018",24990
2024,3,306171100,1005,15,3,"99,432",17214
2024,3,306171100,5406,15,3,"147,972",22992
2024,4,306171100,2102,34,1,17060,2195
2024,4,306171100,4113,10,3,407484,49980
2024,4,306171100,4116,10,3,182745,15513
2024,4,306171100,4128,10,3,166320,25310
2024,4,306171100,1005,11,3,788862,94110
2024,4,306171100,5406,15,3,794222,114960
2024,5,306171100,1007,31,1,1200000,244000
2024,5,306171100,2102,34,1,33492,4199
2024,5,306171100,1007,10,3,407044,67536
2024,5,306171100,4113,10,3,203742,24990
2024,5,306171100,4116,10,3,148519,13675
2024,5,306171100,4128,10,3,164880,25310
2024,5,306171100,7441,10,3,196009,23523
2024,5,306171100,1005,11,3,534770,75000
2024,5,306171100,4113,11,3,200525,24426
2024,5,306171100,1005,15,3,104400,10432
2024,5,306171100,5406,15,3,152208,22992
2024,6,306171100,1007,31,1,1080000,213500
2024,6,306171100,2102,33,1,40500,14500
2024,6,306171100,2102,34,1,11738,1359
2024,6,306171100,4113,10,3,754812,98895
2024,6,306171100,4116,10,3,146868,14141
2024,6,306171100,4128,10,3,665280,101240
2024,6,306171100,4132,10,3,178800,24040
2024,6,306171100,1005,11,3,206563,31748
2024,6,306171100,5406,15,3,426437,68976
2024,1,306171900,1005,11,3,"53,270",6903
2024,1,306171900,1005,15,3,"110,609",17577
2024,2,306171900,2102,34,1,572,77
2024,2,306171900,1005,11,3,"71,662",7119
2024,2,306171900,1005,15,3,"156,242",15004
2024,3,306171900,2102,34,1,898,113
2024,3,306171900,1005,10,3,101016,7511
2024,3,306171900,1005,15,3,900768,100124
2024,4,306171900,2102,34,1,793,102
2024,4,306171900,1005,15,3,1187707,108338
2024,5,306171900,2102,34,1,1698,213
2024,5,306171900,1005,15,3,415746,38838
2024,6,306171900,1005,15,3,402069,55891
2024,2,306179900,2102,34,1,387,52
2024,3,306179900,2102,34,1,"1,139",143
2024,4,306179900,2102,34,1,3909,518
2024,5,306179900,2102,33,1,2525,736
2024,5,306179900,2102,34,1,6397,803
2024,6,306179900,2102,34,1,1456,168
2024,1,401200000,2102,34,1,117744,114373
2024,4,401200000,2102,34,1,42562,39950
2024,5,401200000,2102,34,1,16375,15650
2024,6,401200000,2102,34,1,43096,41513
2024,1,402100000,2206,62,1,48152,8925
2024,1,402100000,1005,15,3,"2,200",216
2024,2,402100000,2311,2,2,33,14
2024,2,402100000,1005,15,3,"4,400",431
2024,3,402100000,2206,62,1,"44,749",8287
2024,3,402100000,2311,2,2,34,15
2024,3,402100000,1005,15,3,"6,600",648
2024,4,402100000,2102,49,1,1680,17
2024,4,402100000,2206,62,1,48153,8925
2024,4,402100000,1005,2,2,42,65
2024,4,402100000,1005,15,3,3400,323
2024,5,402100000,3102,2,2,60,1
2024,5,402100000,1005,15,3,4086,450
2024,6,402100000,2206,62,1,44749,8287
2024,6,402100000,1005,15,3,2300,214
2024,1,402211200,2206,62,1,420,433
2024,3,402211200,2206,62,1,420,433
2024,5,402211200,2102,49,1,2119,669
2024,1,402212200,1005,10,3,"108,480",49190
2024,1,402212200,1005,11,3,"216,960",98380
2024,4,402212200,2107,33,1,11754,2286
2024,5,402212200,2107,33,1,9776,1715
2024,2,402290000,2311,2,2,2,1
2024,3,402290000,2311,2,2,1,1
2024,1,402912000,2102,34,1,"3,869",590
2024,2,402912000,2102,34,1,3587,538
2024,3,402912000,2102,34,1,"1,198",190
2024,4,402912000,2102,34,1,658,93
2024,5,402912000,2102,34,1,2151,317
2024,4,403201000,2102,34,1,2928,1401
2024,1,403901000,2102,33,1,"10,339",5899
2024,1,403901000,2104,33,1,866,79
2024,1,403901000,2107,33,1,12559,7288
2024,1,403901000,4128,2,2,"6,160",1040
2024,2,403901000,2104,108,1,"2,754",266
2024,2,403901000,2102,33,1,"10,080",6138
2024,2,403901000,2107,33,1,"52,356",29332
2024,2,403901000,4128,2,2,"6,160",1034
2024,3,403901000,2102,33,1,"3,357",2014
2024,3,403901000,2107,33,1,31592,17957
2024,4,403901000,2102,33,1,17501,9013
2024,4,403901000,2107,33,1,27344,10838
2024,5,403901000,2102,33,1,25773,12436
2024,5,403901000,2107,33,1,31759,12917
2024,6,403901000,2102,33,1,7570,4572
2024,6,403901000,2104,33,1,3421,319
2024,6,403901000,2107,33,1,34749,14745
2024,2,404100000,2208,34,1,793,400
2024,3,404900000,2104,106,1,"13,288",2045
2024,2,405100000,2311,2,2,2,1
2024,1,405901000,2102,49,1,1206,481
2024,2,405901000,2102,49,1,14052,2724
2024,3,405901000,2104,34,1,"18,809",2724
2024,3,405901000,2102,49,1,"13,797",2724
2024,3,405901000,2206,62,1,2,3
2024,4,405901000,2104,34,1,18809,2690
2024,5,405901000,2104,34,1,24547,3632
2024,5,405901000,2102,49,1,13797,2724
2024,6,405901000,2206,62,1,4,9
2024,1,406101000,2102,33,1,"7,322",1542
2024,1,406101000,2102,34,1,"38,135",5786
2024,2,406101000,2102,34,1,"33,528",5035
2024,2,406101000,2102,49,1,"8,601",1759
2024,3,406101000,2102,34,1,15201,2355
2024,3,406101000,2102,49,1,"14,614",2994
2024,4,406101000,2102,34,1,19744,2771
2024,4,406101000,2102,49,1,24747,5137
2024,5,406101000,2102,34,1,23147,3444
2024,5,406101000,2102,49,1,9989,2051
2024,6,406101000,2102,49,1,25559,5603
2024,1,406209000,1005,33,1,"8,486",997
2024,1,406209000,2102,34,1,"2,568",392
2024,2,406209000,1005,33,1,"8,486",997
2024,2,406209000,2102,34,1,"3,093",465
2024,3,406209000,1005,33,1,"8,332",1045
2024,3,406209000,2102,34,1,598,97
2024,4,406209000,1005,33,1,8332,1045
2024,4,406209000,2102,33,1,72273,11784
2024,4,406209000,2102,34,1,1077,150
2024,5,406209000,2102,33,1,110776,21757
2024,5,406209000,2102,34,1,1997,295
2024,6,406209000,2102,33,1,131927,25862
2024,1,406909000,2102,34,1,"3,478",527
2024,2,406909000,2102,34,1,3582,539
2024,3,406909000,2102,34,1,1194,184
2024,4,406909000,2102,34,1,2007,282
2024,5,406909000,2102,34,1,2567,383
2024,1,407110000,2102,34,1,"293,986",91023
2024,2,407110000,2102,34,1,101870,19587
2024,3,407110000,2102,34,1,178924,32878
2024,4,407110000,2102,34,1,38704,7134
2024,5,407110000,2102,34,1,96382,17767
2024,6,407110000,2102,34,1,21680,7249
2024,1,407210000,2102,34,1,"78,557",59520
2024,2,407210000,2102,34,1,33116,24960
2024,3,407210000,2102,34,1,"62,552",47280
2024,4,407210000,2102,34,1,45541,34320
2024,5,407210000,2102,34,1,63659,47880
2024,6,407210000,2102,34,1,69993,52815
2024,1,408190000,2102,34,1,128,65
2024,2,408190000,2102,34,1,162,85
2024,3,408190000,2102,34,1,160,92
2024,4,408190000,2102,34,1,109,61
2024,5,408190000,2102,34,1,160,90
2024,6,408190000,2102,34,1,190,105
2024,4,408910000,1005,2,2,80,8
2024,1,408990000,2102,34,1,164437,83877
2024,2,408990000,2102,34,1,157629,84525
2024,3,408990000,2102,34,1,"209,293",119047
2024,4,408990000,2102,34,1,146464,81856
2024,5,408990000,2102,34,1,206270,115721
2024,6,408990000,2102,34,1,186377,102309
2024,1,409000000,2104,106,1,"15,638",6624
2024,1,409000000,2107,33,1,"5,278",2349
2024,1,409000000,5402,2,2,5,1
2024,1,409000000,1005,10,3,"42,469",22846
2024,2,409000000,1005,10,3,"98,198",41491
2024,3,409000000,2104,106,1,13452,5700
2024,3,409000000,2104,108,1,"10,419",4157
2024,3,409000000,2107,33,1,"2,282",907
2024,3,409000000,2107,34,1,1427,544
2024,3,409000000,1005,15,3,"5,117",3345
2024,4,409000000,2104,106,1,13452,5700
2024,4,409000000,2104,108,1,38348,15719
2024,4,409000000,4104,10,3,203040,90374
2024,4,409000000,4113,10,3,77580,43200
2024,5,409000000,2101,34,1,67320,20770
2024,5,409000000,4104,10,3,314400,133416
2024,5,409000000,4134,10,3,177600,46620
2024,5,409000000,1005,11,3,30985,20342
2024,5,409000000,5411,15,3,90450,21105
2024,6,409000000,2104,106,1,15607,6612
2024,6,409000000,2104,108,1,24800,10187
2024,6,409000000,2101,34,1,137534,41420
2024,6,409000000,4104,10,3,213840,67896
2024,6,409000000,4134,10,3,177600,46620
2024,2,510000000,5408,2,2,"26,090",1
2024,2,510000000,3201,15,3,"120,326",20781
2024,4,510000000,5408,2,2,33400,1
2024,4,511100000,2104,108,1,6087,1
2024,1,511999000,1005,2,2,"35,000",1000
2024,2,511999000,1005,2,2,"1,287",40
2024,3,511999000,1005,2,2,"56,672",3585
2024,4,511999000,1005,2,2,35650,1283
2024,4,511999000,1005,11,3,42000,3800
2024,5,511999000,1005,2,2,16750,515
2024,6,511999000,1005,2,2,9350,275
2024,3,601100000,2107,34,1,"1,623",400
2024,4,601200000,2102,34,1,518,500
2024,1,602100000,2102,49,1,"4,538",1646
2024,1,602100000,1003,2,2,"604,988",448625
2024,1,602100000,1005,2,2,"3,763,016",456559
2024,1,602100000,1007,2,2,258,18
2024,1,602100000,2101,2,2,431,5
2024,1,602100000,2354,2,2,"1,200",28
2024,1,602100000,2705,2,2,"1,164",139
2024,1,602100000,3503,2,2,"3,922",58
2024,1,602100000,4104,2,2,"6,876",268
2024,1,602100000,4113,2,2,"3,510",222
2024,1,602100000,4122,2,2,"8,100",981
2024,1,602100000,4128,2,2,"201,798",13661
2024,1,602100000,4132,2,2,"4,869",725
2024,1,602100000,5113,2,2,445,6
2024,1,602100000,5333,2,2,370,51
2024,1,602100000,5406,2,2,3259,458
2024,1,602100000,5411,2,2,"8,855",982
2024,1,602100000,7441,2,2,"7,194",240
2024,1,602100000,4122,10,3,"16,467",8492
2024,1,602100000,4128,10,3,290489,261070
2024,1,602100000,1005,11,3,"303,635",190574
2024,1,602100000,3503,15,3,"39,028",25000
2024,1,602100000,5411,15,3,"24,000",22226
2024,2,602100000,2102,49,1,"2,238",719
2024,2,602100000,1003,2,2,"492,845",373212
2024,2,602100000,1005,2,2,"3,385,721",960193
2024,2,602100000,3503,2,2,"1,729",378
2024,2,602100000,4104,2,2,"15,870",642
2024,2,602100000,4113,2,2,"3,287",337
2024,2,602100000,4116,2,2,234,24
2024,2,602100000,4122,2,2,"29,709",2213
2024,2,602100000,4128,2,2,"297,612",21538
